"logrank_p_reject","wlr_fh00_p_reject","wlr_fh01_p_reject","wlr_fh11_p_reject","wlr_fh10_p_reject","maxcombo_p_reject","cox_p_reject","rmst6_p_reject","rmst12_p_reject","cox_hr_bias","cox_hr_mse","rmst6_bias","rmst6_mse","rmst12_bias","rmst12_mse","mile6_bias","mile12_bias","replications","n_total","lambda0","cens_prop","prev","hr_overall","rel","hr_pos","hr_neg","true_hr_mix","true_rmst6","true_rmst12","true_mile6","true_mile12"
0.115,0.115,0.1,0.12,0.11,0.07,0.115,0.085,0.075,0.00990109191863107,0.0121031732550329,0.0113152259418702,0.0360752380520247,0.0405117155015037,0.196450134825372,0.00330574732641894,0.00306355164459536,200,300,0.0577622650466621,0.1,0.3,0.9,0.9,0.81,0.938571428571429,0.9,0.0840709921869038,0.273605444850251,0.0250896008947581,0.0363390437122686
0.135,0.135,0.11,0.115,0.125,0.095,0.135,0.1,0.115,-0.000493892133798267,0.0111947840978555,0.0137236250399193,0.0579633098329969,0.0366699586722069,0.250356772102319,0.0046379576665198,0.00120584142046834,200,300,0.115524530093324,0.1,0.3,0.9,0.9,0.81,0.938571428571429,0.9,0.136802722425125,0.369296268164828,0.0363390437122686,0.0381562468959693
0.12,0.12,0.095,0.1,0.105,0.065,0.105,0.07,0.075,0.00721666268746064,0.0151948403822016,-0.00337937481413774,0.0184328565242934,-0.0173302976346803,0.136663459213514,-0.000363195770819836,-0.00439096473014106,200,300,0.0192540883488874,0.3,0.3,0.9,0.9,0.81,0.938571428571429,0.9,0.0322660228730962,0.120239568735235,0.0103726631539826,0.0186274328584717
0.12,0.12,0.11,0.115,0.125,0.095,0.12,0.07,0.085,0.0076181937181588,0.0164440374807662,-0.0124136002558497,0.0453610750974685,-0.0171412983910781,0.263242457927571,-0.00197700292223659,-0.00265456497354335,200,300,0.0577622650466621,0.3,0.3,0.9,0.9,0.81,0.938571428571429,0.9,0.0840709921869038,0.273605444850251,0.0250896008947581,0.0363390437122686
0.14,0.14,0.115,0.1,0.095,0.075,0.14,0.075,0.11,0.00670688248358361,0.0158043659028059,0.00751554722179711,0.0601822427503739,0.0199628034260178,0.288131497174727,0.000559480935083164,-0.000368502326009743,200,300,0.115524530093324,0.3,0.3,0.9,0.9,0.81,0.938571428571429,0.9,0.136802722425125,0.369296268164828,0.0363390437122686,0.0381562468959693
0.18,0.18,0.16,0.15,0.13,0.125,0.175,0.06,0.065,-0.0163146292226078,0.0111694523936498,0.00968466693348589,0.0142384640728252,0.029779325095284,0.101800250815221,0.00154599549906741,0.0031867296491786,200,300,0.0192540883488874,0,0.5,0.9,0.9,0.81,0.99,0.9,0.0323231101438388,0.120661811600556,0.0104004583656963,0.0187274888005805
0.17,0.17,0.155,0.15,0.14,0.12,0.17,0.09,0.1,-0.00706109640157085,0.0107314429265835,0.00484047979507526,0.0381953968250678,0.00515369672649999,0.225956045712407,0.00161804748788617,0.000729814464866025,200,300,0.0577622650466621,0,0.5,0.9,0.9,0.81,0.99,0.9,0.0845103720178813,0.276394709747924,0.0252922042542544,0.0369298164812857
0.23,0.23,0.19,0.175,0.185,0.145,0.23,0.115,0.165,-0.013987312775175,0.0123612442310853,0.0122798145348584,0.0635747289236308,0.0319528807688994,0.273219716871494,0.00400660756476466,0.00643572541397699,200,300,0.115524530093324,0,0.5,0.9,0.9,0.81,0.99,0.9,0.138197354873962,0.376412770368158,0.0369298164812857,0.0394126669039954
0.145,0.145,0.12,0.115,0.12,0.075,0.145,0.065,0.085,-0.00663026683306832,0.0107893228675332,0.000950599264892351,0.0152799900806807,0.00113957823655977,0.113659264075167,0.00145199563239533,-0.000874574155349259,200,300,0.0192540883488874,0.1,0.5,0.9,0.9,0.81,0.99,0.9,0.0323231101438388,0.120661811600556,0.0104004583656963,0.0187274888005805
0.175,0.175,0.14,0.145,0.12,0.085,0.17,0.08,0.1,-0.00210406506170081,0.0131742922868217,0.00449547885105515,0.0407988228091724,-0.000541460213044003,0.23280965599836,-0.000755806346890841,-0.0018261408675534,200,300,0.0577622650466621,0.1,0.5,0.9,0.9,0.81,0.99,0.9,0.0845103720178813,0.276394709747924,0.0252922042542544,0.0369298164812857
0.14,0.14,0.13,0.135,0.1,0.095,0.13,0.055,0.095,0.00500396100845729,0.0121740686558323,-0.0263207567117898,0.0500914398437818,-0.0334562509339765,0.239748253533644,-0.00745926714262838,-0.00132991279832599,200,300,0.115524530093324,0.1,0.5,0.9,0.9,0.81,0.99,0.9,0.138197354873962,0.376412770368158,0.0369298164812857,0.0394126669039954
0.11,0.11,0.105,0.115,0.085,0.06,0.11,0.055,0.065,0.0169870931958601,0.0179200874152438,-0.00455938931361073,0.0174041906723644,-0.0273637815734473,0.127669609613615,-0.00118149754322075,-0.00387555855742338,200,300,0.0192540883488874,0.3,0.5,0.9,0.9,0.81,0.99,0.9,0.0323231101438388,0.120661811600556,0.0104004583656963,0.0187274888005805
0.13,0.13,0.075,0.105,0.115,0.085,0.125,0.075,0.09,0.000625520319730215,0.0152040161728115,-0.000585579982950204,0.0370731107694331,0.00452858509528372,0.234128034279234,0.0011904749006244,0.000415933808989346,200,300,0.0577622650466621,0.3,0.5,0.9,0.9,0.81,0.99,0.9,0.0845103720178813,0.276394709747924,0.0252922042542544,0.0369298164812857
0.15,0.15,0.14,0.125,0.14,0.095,0.15,0.125,0.14,-0.00414773651382878,0.0179450937997287,0.0272500184866807,0.0591703289948889,0.0189234887351283,0.30743805248901,0.00536436057285465,-0.000104859858436821,200,300,0.115524530093324,0.3,0.5,0.9,0.9,0.81,0.99,0.9,0.138197354873962,0.376412770368158,0.0369298164812857,0.0394126669039954
0.445,0.445,0.355,0.37,0.34,0.325,0.445,0.105,0.13,0.0162859221326403,0.00939843757524954,0.0022678808399761,0.0130545093459423,-0.0166937082194373,0.112822958867944,-0.00040961477285169,-0.00464439652375804,200,300,0.0192540883488874,0,0.1,0.8,0.9,0.72,0.808888888888889,0.8,0.0647020149380735,0.241737461091773,0.0208281086118826,0.0375532345845322
0.5,0.5,0.39,0.44,0.435,0.4,0.5,0.16,0.265,-0.0022971642892882,0.00765501312232403,0.0126656324526698,0.0411943170941779,0.0484678936307987,0.232171220261103,0.00276850667792972,0.00363220462509287,200,300,0.0577622650466621,0,0.1,0.8,0.9,0.72,0.808888888888889,0.8,0.169452581201298,0.55555370730667,0.050784135639347,0.0744489272216842
0.415,0.415,0.32,0.385,0.38,0.305,0.405,0.285,0.355,0.0131196660907996,0.0100691765142116,0.00487386670556091,0.0551314212697484,-0.00436381303961515,0.258726246865985,-0.000514131420416263,-0.00165196838580072,200,300,0.115524530093324,0,0.1,0.8,0.9,0.72,0.808888888888889,0.8,0.277776853653335,0.75999407017002,0.0744489272216842,0.0801100061561579
0.425,0.425,0.325,0.355,0.32,0.325,0.415,0.065,0.075,0.0124924461825011,0.00909096959096795,-0.0263958807436461,0.0160169276400945,-0.0577107682530285,0.110484951250255,-0.00587446841310898,-0.00414385465310442,200,300,0.0192540883488874,0.1,0.1,0.8,0.9,0.72,0.808888888888889,0.8,0.0647020149380735,0.241737461091773,0.0208281086118826,0.0375532345845322
0.43,0.43,0.395,0.375,0.315,0.325,0.43,0.13,0.19,0.0103125121250147,0.0111303270587217,-0.0104976435765344,0.0385020410636854,-0.0418310979023619,0.22101023365244,-0.00489385024675366,-0.00329831605078207,200,300,0.0577622650466621,0.1,0.1,0.8,0.9,0.72,0.808888888888889,0.8,0.169452581201298,0.55555370730667,0.050784135639347,0.0744489272216842
